日付,数量,金額,単価
2021-01-01,10573151,90865705,8594.004285004537
2021-02-01,9814884,92085045,9382.183732380332
2021-03-01,8514954,85662672,10060.262451212302
2021-04-01,7652098,84079994,10987.835492958924
2021-05-01,7998828,93934827,11743.573808562955
2021-06-01,7453609,95080861,12756.352124185747
2021-07-01,9755252,133065071,13640.351986806696
2021-08-01,10545517,166355270,15774.975280965362
2021-09-01,9919653,170355357,17173.519779371316
2021-10-01,10018225,185967703,18562.939343047296
2021-11-01,10429788,221633342,21250.033270091397
2021-12-01,9872374,216272550,21906.84327802006
2022-01-01,10506682,223576791,21279.485854811253
2022-02-01,9383028,217961631,23229.348883963685
2022-03-01,10624310,262923025,24747.30358959782
2022-04-01,8166240,259450554,31771.11547052254
2022-05-01,8526969,335846385,39386.37339950456
2022-06-01,8729423,399320674,45744.22318634348
2022-07-01,9329673,479757226,51422.7268201147
2022-08-01,12239374,625852287,51134.33799800546
2022-09-01,9502476,505016580,53145.78852922123
2022-10-01,9082360,513540988,56542.68141760512
2022-11-01,8521400,501511839,58853.22118431244
2022-12-01,10598037,558082652,52659.058653975255
2023-01-01,10679971,524557568,49116.010521002354
2023-02-01,9491553,447082800,47103.22957686692
2023-03-01,8504879,374821019,44071.293548091635
2023-04-01,7284060,283414860,38908.91343563892
2023-05-01,6186654,205974412,33293.34596697989
2023-06-01,7258678,229737416,31650.035447226066
2023-07-01,8680259,256621933,29563.856677548447
2023-08-01,8384775,229886487,27417.132481193592
2023-09-01,8399828,219096436,26083.443137168997
2023-10-01,0,0,
2023-11-01,0,0,
2023-12-01,0,0,
