日付,数量,金額,単価
2021-01-01,8060001,366175942,45431.25267602324
2021-02-01,8068874,409158633,50708.26896045223
2021-03-01,7127493,299519745,42023.15526651517
2021-04-01,4974637,221284019,44482.44545280389
2021-05-01,4953048,236050460,47657.61607801903
2021-06-01,5706614,294584580,51621.60608725244
2021-07-01,6188964,345012097,55746.34090616782
2021-08-01,6298016,364115124,57814.258331512654
2021-09-01,5410479,332111121,61382.94243448686
2021-10-01,4628438,316920996,68472.55942501551
2021-11-01,5863880,494773152,84376.41152274603
2021-12-01,7035832,597537086,84927.70805215361
2022-01-01,6786414,557248962,82112.43257484733
2022-02-01,7108031,675116059,94979.33520548798
2022-03-01,6505060,570833884,87752.28575908601
2022-04-01,5574140,561986482,100820.30268346328
2022-05-01,5760256,603534742,104775.68045586863
2022-06-01,5804154,590153326,101677.75114168233
2022-07-01,6163434,786160504,127552.35214654688
2022-08-01,6274424,878435300,140002.54047224094
2022-09-01,5324765,877337125,164765.41687755234
2022-10-01,5086665,794763181,156244.45112858817
2022-11-01,5548544,749489858,135078.6545082818
2022-12-01,6061777,816362309,134673.76134094014
2023-01-01,6823495,873561007,128022.51734631593
2023-02-01,6401564,761368228,118934.72095256722
2023-03-01,5723355,596439609,104211.53484276267
2023-04-01,4529779,421933297,93146.55240354993
2023-05-01,4614030,412774637,89460.76141680917
2023-06-01,4529773,394332194,87053.41172725432
2023-07-01,5089578,453204939,89045.68099752082
2023-08-01,5673185,500784183,88272.14042905353
2023-09-01,5526355,484421673,87656.63316960276
2023-10-01,0,0,
2023-11-01,0,0,
2023-12-01,0,0,
